Student ID,Student Name,Student ID.1,Attendance (%),Internal Marks,External Marks,Total Marks,Grade,Gender,Age,Religion/Caste,BPL Status,Parent Education Level,Family Income Range,DIKSHA Access,Digital Learning Hours,Participation in Quiz,Homework Submission Rate,Disciplinary Records,School Name,District,Student-Teacher Ratio,Electricity,Toilet Facilities,Library,Guardian Contact,Preferred Mode,Father Name,Mother Name,Class,Section,Class-Section,Teacher
S001,Himmat Sehgal,S001,56.22,16,51,67,B,Male,12,ST,Yes,,₹10–20k,No,8,Yes,46.67,0,Govt School ShikshaLens,Anantapur,35,No,Yes,Yes,9014475712,WhatsApp,Akarsh Borra,Renee Sood,Class 1,A,Class 1-A,T.Sri Venkateshwar
S002,Reyansh Tailor,S002,96.55,26,25,51,C,Female,11,ST,Yes,,"<₹10,000",Yes,1,Yes,36.96,0,Govt School ShikshaLens,Anantapur,51,Yes,Yes,No,9592551615,SMS,Baiju Din,Advik Mammen,Class 1,A,Class 1-A,T.Sri Venkateshwar
S003,Tanya Ben,S003,81.24,29,51,80,B,Male,12,General,Yes,,"<₹10,000",Yes,7,No,47.02,1,Govt School ShikshaLens,Anantapur,27,No,Yes,No,9021637593,SMS,Rania Seth,Vaibhav Bhargava,Class 1,A,Class 1-A,T.Sri Venkateshwar
S004,Yasmin Reddy,S004,71.91,38,23,61,B,Female,11,SC,Yes,Secondary,"<₹10,000",Yes,7,Yes,80.56,1,Govt School ShikshaLens,Anantapur,41,Yes,Yes,No,9486986073,SMS,Pranay Subramanian,Sara Rau,Class 1,A,Class 1-A,T.Sri Venkateshwar
S005,Dharmajan Dhaliwal,S005,40.92,13,30,43,C,Female,10,General,Yes,,>₹20k,Yes,6,Yes,89.9,0,Govt School ShikshaLens,Anantapur,52,No,Yes,No,9262754377,SMS,Uthkarsh Chakraborty,Nirvi Shankar,Class 1,A,Class 1-A,T.Sri Venkateshwar
S006,Amira Ranganathan,S006,40.92,39,36,75,B,Male,13,SC,Yes,Primary,₹10–20k,Yes,7,Yes,88.12,0,Govt School ShikshaLens,Anantapur,53,Yes,Yes,No,9084355176,SMS,Armaan Kadakia,Rohan Kade,Class 1,A,Class 1-A,T.Sri Venkateshwar
S007,Prerak Vasa,S007,34.07,14,57,71,B,Male,10,SC,No,,"<₹10,000",Yes,13,No,57.8,0,Govt School ShikshaLens,Anantapur,45,No,Yes,No,9045313061,SMS,Devansh Ben,Anika Yohannan,Class 1,A,Class 1-A,T.Sri Venkateshwar
S008,Zeeshan Sane,S008,90.63,32,43,75,B,Female,13,SC,Yes,Secondary,₹10–20k,Yes,2,Yes,76.77,0,Govt School ShikshaLens,Anantapur,40,Yes,Yes,No,9184188023,SMS,Riaan Thaker,Kashvi Kar,Class 1,A,Class 1-A,T.Sri Venkateshwar
S009,Miraan Shan,S009,72.08,16,24,40,F,Male,11,General,No,,₹10–20k,Yes,12,No,44.35,0,Govt School ShikshaLens,Anantapur,44,No,Yes,Yes,9693165255,SMS,Bhavin Mall,Chirag Mahal,Class 1,A,Class 1-A,T.Sri Venkateshwar
S010,Ela Devi,S010,79.57,22,53,75,B,Female,12,SC,Yes,Secondary,"<₹10,000",No,5,No,50.52,2,Govt School ShikshaLens,Anantapur,30,Yes,Yes,Yes,9439095127,WhatsApp,Anaya Amble,Dhruv Dora,Class 1,A,Class 1-A,T.Sri Venkateshwar
S011,Lavanya Wagle,S011,31.44,24,25,49,C,Female,10,OBC,Yes,Secondary,"<₹10,000",No,0,Yes,92.74,0,Govt School ShikshaLens,Anantapur,43,Yes,No,Yes,9952638421,SMS,Abram Dasgupta,Miraan Goel,Class 1,A,Class 1-A,T.Sri Venkateshwar
S012,Neysa Bhattacharyya,S012,97.89,20,41,61,B,Female,13,General,Yes,,₹10–20k,No,6,No,30.91,3,Govt School ShikshaLens,Anantapur,29,Yes,Yes,No,9121319818,WhatsApp,Hiran Vora,Yashvi Badami,Class 1,A,Class 1-A,T.Sri Venkateshwar
S013,Kashvi Gupta,S013,88.27,38,30,68,B,Female,10,OBC,Yes,Primary,"<₹10,000",No,14,No,35.99,0,Govt School ShikshaLens,Anantapur,27,Yes,Yes,No,9503053228,SMS,Drishya Deep,Devansh Walia,Class 1,A,Class 1-A,T.Sri Venkateshwar
S014,Tanya Sodhi,S014,44.86,13,67,80,B,Female,13,SC,No,Secondary,₹10–20k,Yes,14,No,44.55,0,Govt School ShikshaLens,Anantapur,25,Yes,Yes,Yes,9584174138,SMS,Jivika Jayaraman,Anika Krishna,Class 1,A,Class 1-A,T.Sri Venkateshwar
S015,Anay Bhalla,S015,42.73,22,35,57,C,Male,10,ST,No,,"<₹10,000",Yes,0,Yes,31.86,0,Govt School ShikshaLens,Anantapur,39,Yes,No,No,9331516224,SMS,Badal Kunda,Taimur Bandi,Class 1,A,Class 1-A,T.Sri Venkateshwar
S016,Azad Som,S016,42.84,16,52,68,B,Male,13,SC,No,,₹10–20k,No,8,Yes,42.7,1,Govt School ShikshaLens,Anantapur,58,Yes,Yes,Yes,9219811786,SMS,Umang Thaman,Jiya Brahmbhatt,Class 1,A,Class 1-A,T.Sri Venkateshwar
S017,Tejas Kar,S017,51.3,36,28,64,B,Female,13,OBC,Yes,Primary,"<₹10,000",No,0,No,70.81,1,Govt School ShikshaLens,Anantapur,59,Yes,Yes,No,9282482603,WhatsApp,Shaan Gill,Onkar Soman,Class 1,A,Class 1-A,T.Sri Venkateshwar
